Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
105.200	0.025	105.142	263.130	5.729
105.300	-0.068	105.236	255.504	6.095
105.400	0.039	105.345	279.233	0.063
105.500	-0.053	105.435	291.578	0.529
105.600	-0.056	105.538	265.971	0.876
105.700	0.012	105.643	259.215	1.064
105.800	-0.008	105.740	286.028	1.244
105.900	-0.039	105.842	386.748	1.615
106.000	0.027	105.947	441.656	2.241
106.100	-0.021	106.038	396.141	2.677
106.200	-0.036	106.143	386.870	3.157
106.300	0.012	106.244	301.234	3.382
106.400	-0.040	106.351	388.747	3.498
106.500	-0.064	106.441	456.934	3.985
106.600	-0.053	106.540	507.519	4.235
106.700	0.039	106.639	694.824	4.755
106.800	0.026	106.739	641.888	5.418
106.900	-0.047	106.844	679.862	5.651
107.000	0.108	106.945	889.031	0.207
107.100	-0.026	107.041	633.220	0.678
107.200	-0.014	107.142	668.752	1.233
107.300	-0.022	107.240	453.191	1.792
107.400	-0.027	107.343	352.818	1.943
107.500	0.054	107.438	346.312	2.250
107.600	-0.042	107.543	309.397	2.376
107.700	-0.023	107.642	399.202	2.540
107.800	0.102	107.745	516.937	3.060
107.900	-0.114	107.845	551.096	3.689
108.000	-0.038	107.944	505.930	4.307
108.100	-0.012	108.046	322.257	4.676
108.200	-0.013	108.143	374.300	5.057
108.300	-0.019	108.241	344.593	5.623
108.400	-0.013	108.344	251.559	6.107
108.500	0.021	108.440	132.656	0.207
108.600	-0.011	108.548	81.256	5.924
108.700	-0.005	108.644	182.392	5.832
108.800	-0.022	108.743	232.350	6.236
108.900	-0.020	108.836	273.252	0.351
109.000	0.018	108.945	316.111	0.919
109.100	-0.010	109.038	274.413	1.364
109.200	0.002	109.147	265.862	1.602
109.300	0.008	109.241	263.847	1.989
109.400	0.006	109.338	253.111	2.211
109.500	-0.036	109.443	289.937	2.466
109.600	0.045	109.543	323.681	2.835
109.700	0.029	109.643	350.441	3.149
109.800	-0.039	109.749	400.357	3.565
109.900	-0.039	109.843	410.805	3.848
110.000	-0.077	109.940	524.117	4.080
110.100	-0.005	110.044	571.064	4.657
110.200	0.028	110.141	705.634	4.986
110.300	-0.083	110.245	876.415	5.550
110.400	0.139	110.340	895.132	6.168
110.500	0.032	110.442	1051.541	0.506
110.600	-0.055	110.543	830.749	1.162
110.700	-0.016	110.645	783.708	1.590
110.800	0.038	110.750	627.561	2.170
110.900	-0.131	110.844	550.696	2.517
111.000	0.142	110.941	514.411	2.889
111.100	-0.101	111.038	448.013	3.199
111.200	-0.060	111.143	462.960	3.568
111.300	-0.049	111.238	451.587	3.905
111.400	-0.059	111.339	477.097	4.351
111.500	0.006	111.448	412.806	4.810
111.600	-0.023	111.535	470.146	5.228
111.700	0.062	111.644	302.790	5.985
111.800	-0.036	111.744	203.932	6.109
111.900	-0.003	111.841	191.659	5.852
112.000	-0.013	111.946	269.752	6.039
112.100	-0.004	112.042	353.365	0.185
112.200	0.072	112.147	419.796	0.793
112.300	-0.000	112.245	382.189	1.224
112.400	-0.073	112.335	303.822	1.989
112.500	-0.018	112.441	299.665	2.117
112.600	0.024	112.541	281.337	2.391
112.700	-0.068	112.641	301.722	3.085
112.800	-0.045	112.741	214.440	3.294
112.900	-0.011	112.838	241.638	3.570
113.000	0.007	112.938	169.847	4.113
113.100	0.026	113.043	181.177	3.979
113.200	-0.020	113.145	194.552	4.578
113.300	-0.031	113.239	131.861	4.753
113.400	-0.015	113.340	166.006	4.907
113.500	-0.013	113.439	109.673	5.131
113.600	-0.045	113.541	189.577	4.992
113.700	0.003	113.641	200.693	5.673
113.800	-0.067	113.747	238.222	5.711
113.900	-0.035	113.840	336.924	6.177
114.000	-0.006	113.939	330.348	0.476
114.100	-0.041	114.043	398.607	0.808
114.200	0.037	114.141	388.042	1.413
114.300	-0.035	114.242	353.016	1.675
114.400	-0.018	114.344	415.826	2.107
114.500	0.074	114.449	363.668	2.634
114.600	0.091	114.541	390.144	2.826
114.700	-0.089	114.641	460.239	3.319
114.800	0.023	114.741	423.151	3.655
114.900	0.082	114.845	495.570	4.086
115.000	0.071	114.942	491.220	4.527
115.100	-0.012	115.042	533.943	4.924
115.200	0.044	115.141	494.135	5.559
115.300	-0.047	115.241	477.847	5.782
115.400	0.103	115.343	553.927	0.091
115.500	0.003	115.446	441.567	0.474
115.600	0.051	115.539	503.562	0.794
115.700	-0.029	115.643	506.879	1.251
115.800	-0.026	115.742	468.018	1.680
115.900	-0.037	115.839	528.314	2.139
116.000	0.017	115.943	479.614	2.762
116.100	0.058	116.043	405.921	3.061
116.200	-0.103	116.141	419.622	3.546
116.300	0.079	116.240	367.489	3.950
116.400	-0.006	116.341	346.915	4.337
116.500	0.003	116.440	279.369	5.035
116.600	0.030	116.545	193.454	5.155
116.700	0.011	116.643	192.373	5.324
116.800	0.023	116.746	175.090	5.683
116.900	0.019	116.843	177.620	5.877
117.000	0.011	116.938	188.181	6.206
117.100	0.053	117.038	194.222	0.387
117.200	0.009	117.145	151.695	0.694
117.300	0.054	117.237	129.208	1.091
117.400	0.058	117.340	86.163	1.365
117.500	-0.018	117.438	70.378	1.160
117.600	0.024	117.534	54.944	0.441
117.700	-0.047	117.645	213.078	0.613
117.800	0.035	117.739	334.720	1.224
117.900	-0.019	117.846	452.101	1.928
118.000	0.045	117.944	482.506	2.620
118.100	-0.104	118.043	501.632	3.201
118.200	0.057	118.147	435.090	3.733
118.300	-0.054	118.242	420.096	4.008
118.400	0.081	118.337	476.090	4.464
118.500	-0.005	118.441	477.781	4.990
118.600	-0.052	118.546	448.605	5.474
118.700	0.083	118.644	391.771	5.971
118.800	0.036	118.746	357.439	6.217
118.900	0.035	118.844	387.499	0.221
119.000	0.042	118.944	362.405	0.602
119.100	0.069	119.041	436.141	0.866
119.200	0.011	119.147	436.944	1.416
119.300	0.021	119.242	428.128	1.692
119.400	-0.020	119.347	546.442	2.315
119.500	0.006	119.443	435.141	2.748
119.600	0.126	119.542	537.265	3.077
119.700	-0.109	119.642	467.939	3.742
119.800	0.057	119.741	512.569	4.031
119.900	0.012	119.845	492.890	4.837
120.000	-0.055	119.935	343.333	5.247
120.100	0.061	120.044	354.137	5.567
120.200	0.032	120.140	281.643	6.154
120.300	-0.022	120.239	212.292	0.301
120.400	0.070	120.344	140.028	0.608
120.500	-0.010	120.444	114.084	0.313
120.600	-0.027	120.545	163.914	0.451
120.700	-0.008	120.640	171.383	1.068
120.800	0.017	120.745	161.973	1.046
120.900	-0.020	120.840	244.872	1.710
121.000	0.019	120.950	188.027	2.112
121.100	0.030	121.046	157.192	2.924
121.200	0.036	121.142	88.918	3.017
121.300	0.022	121.244	109.813	2.699
121.400	0.028	121.343	113.303	3.252
121.500	0.040	121.442	110.975	3.291
121.600	-0.022	121.542	120.079	3.700
121.700	-0.020	121.644	132.909	3.740
121.800	-0.024	121.738	159.328	4.079
121.900	0.003	121.845	156.744	4.345
122.000	-0.024	121.945	210.221	4.601
122.100	-0.035	122.043	257.814	5.082
122.200	0.006	122.143	270.605	5.520
122.300	0.011	122.237	312.863	6.018
122.400	0.043	122.339	295.456	0.249
122.500	-0.046	122.442	270.841	0.606
122.600	-0.068	122.541	306.125	0.860
122.700	-0.042	122.638	312.223	1.196
122.800	0.024	122.744	361.549	1.494
122.900	0.000	122.846	388.651	2.298
123.000	-0.031	122.940	312.049	2.546
123.100	0.080	123.039	349.234	2.764
123.200	0.027	123.145	375.188	3.166
123.300	-0.044	123.240	460.956	3.652
123.400	0.017	123.340	422.625	4.120
123.500	0.002	123.441	420.011	4.451
123.600	0.018	123.540	489.167	4.826
123.700	0.009	123.642	536.397	5.249
123.800	-0.073	123.742	598.695	5.870
123.900	0.007	123.841	579.537	0.161
124.000	-0.070	123.943	588.433	0.614
124.100	-0.000	124.046	509.631	1.158
124.200	-0.059	124.145	434.674	1.629
124.300	-0.012	124.240	456.814	2.048
124.400	0.015	124.339	410.983	2.591
124.500	-0.054	124.446	347.732	3.136
124.600	0.083	124.547	245.378	3.789
124.700	-0.035	124.640	190.850	3.796
124.800	-0.038	124.750	189.812	4.327
124.900	0.031	124.840	117.224	4.642
125.000	0.015	124.944	90.754	4.621
125.100	0.003	125.044	79.785	4.965
125.200	-0.032	125.140	63.761	4.770
125.300	-0.040	125.245	82.162	4.676
125.400	-0.048	125.339	124.101	4.827
125.500	-0.015	125.440	161.502	5.363
125.600	-0.033	125.537	202.990	5.922
125.700	0.031	125.641	159.662	0.328
125.800	-0.005	125.747	112.490	0.514
125.900	0.065	125.843	126.446	0.604
126.000	-0.030	125.945	112.179	0.584
126.100	-0.001	126.045	204.481	0.728
126.200	0.013	126.141	243.721	1.237
126.300	-0.052	126.247	310.332	1.639
126.400	0.020	126.342	358.080	2.275
126.500	0.024	126.442	370.449	2.750
126.600	0.053	126.544	378.275	3.315
126.700	0.058	126.642	325.523	3.728
126.800	-0.044	126.743	339.867	4.027
126.900	0.002	126.846	344.331	4.414
127.000	0.034	126.950	363.146	4.767
127.100	-0.015	127.041	410.743	5.272
127.200	0.014	127.141	379.276	5.636
127.300	-0.075	127.244	429.274	6.103
127.400	0.068	127.344	366.724	0.282
127.500	-0.101	127.450	415.604	0.542
127.600	-0.040	127.546	436.013	1.114
127.700	-0.036	127.653	380.672	1.390
127.800	0.030	127.743	429.762	1.866
127.900	0.067	127.850	370.940	2.209
128.000	0.009	127.944	502.425	2.425
128.100	-0.028	128.043	555.553	3.179
128.200	0.054	128.144	608.290	3.593
128.300	0.058	128.248	581.131	4.506
128.400	-0.009	128.348	399.667	4.883
128.500	0.023	128.446	389.910	5.418
128.600	-0.036	128.545	246.403	5.979
128.700	0.083	128.643	181.094	6.156
128.800	-0.059	128.739	155.977	6.266
128.900	-0.024	128.842	118.831	0.071
129.000	-0.019	128.948	163.220	0.122
129.100	0.033	129.047	193.350	0.687
129.200	-0.012	129.144	179.452	0.925
129.300	-0.014	129.244	157.373	1.354
129.400	0.047	129.343	146.114	1.500
129.500	-0.034	129.441	223.583	1.598
129.600	0.029	129.546	263.546	2.443
129.700	0.038	129.646	246.085	3.116
129.800	0.024	129.746	109.313	3.627
129.900	0.035	129.844	138.950	3.401
130.000	0.048	129.944	104.637	3.944
130.100	0.074	130.041	101.469	3.712
130.200	-0.009	130.142	141.117	4.004
130.300	0.003	130.241	153.952	4.259
130.400	-0.016	130.341	184.419	4.647
130.500	0.017	130.442	197.160	5.094
130.600	0.011	130.540	193.940	5.473
130.700	0.013	130.648	216.248	5.825
130.800	0.007	130.743	225.182	6.227
130.900	-0.057	130.841	214.780	0.183
131.000	-0.045	130.948	261.319	0.542
131.100	0.001	131.053	274.678	0.875
131.200	-0.012	131.151	355.426	1.290
131.300	-0.065	131.243	316.472	1.923
131.400	0.033	131.347	331.775	2.182
131.500	-0.036	131.445	360.568	2.802
131.600	-0.020	131.550	272.753	3.167
131.700	0.065	131.648	270.925	3.264
131.800	-0.068	131.746	317.498	3.456
131.900	0.053	131.844	416.467	3.863
132.000	0.091	131.942	472.107	4.351
132.100	-0.009	132.040	507.558	4.795
132.200	-0.036	132.143	565.429	5.267
132.300	-0.038	132.244	659.314	5.770
132.400	0.105	132.344	704.104	0.103
132.500	-0.121	132.439	697.104	0.559
132.600	0.056	132.549	706.099	1.249
132.700	-0.019	132.646	694.767	1.785
132.800	-0.046	132.746	566.810	2.483
132.900	-0.002	132.840	462.270	3.007
133.000	-0.080	132.944	308.513	3.456
133.100	0.071	133.046	281.131	3.697
133.200	0.009	133.143	240.365	4.289
133.300	0.030	133.244	169.656	4.514
133.400	-0.012	133.345	98.585	5.025
