Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
157.300	-0.070	157.245	476.870	5.425
157.400	0.099	157.347	514.265	5.891
157.500	-0.072	157.438	455.213	0.253
157.600	0.029	157.548	421.009	0.610
157.700	0.080	157.642	378.561	1.142
157.800	-0.009	157.742	342.187	1.559
157.900	-0.028	157.846	313.558	2.125
158.000	-0.060	157.945	233.941	2.451
158.100	-0.048	158.046	213.632	2.647
158.200	-0.053	158.141	212.948	2.939
158.300	0.023	158.245	230.487	3.187
158.400	0.071	158.343	265.336	3.789
158.500	0.002	158.442	214.580	4.203
158.600	0.036	158.544	233.054	4.718
158.700	0.043	158.643	171.508	5.179
158.800	0.034	158.742	166.496	5.522
158.900	0.002	158.843	123.492	5.956
159.000	-0.016	158.944	110.722	6.166
159.100	0.023	159.042	87.214	0.327
159.200	-0.007	159.137	61.783	0.269
159.300	0.031	159.242	67.109	0.242
159.400	-0.046	159.340	81.226	0.469
159.500	-0.027	159.443	87.023	0.755
159.600	0.044	159.544	98.258	1.050
159.700	0.020	159.640	101.309	1.312
159.800	0.020	159.742	135.657	1.744
159.900	-0.048	159.839	89.703	2.349
160.000	0.007	159.950	81.503	2.021
160.100	-0.026	160.047	113.249	2.236
160.200	0.019	160.145	187.209	2.229
160.300	0.021	160.238	313.100	2.931
160.400	-0.078	160.341	312.950	3.780
160.500	0.028	160.447	286.910	4.051
160.600	0.063	160.542	378.568	4.563
160.700	0.005	160.639	359.392	5.127
160.800	-0.055	160.743	429.720	5.623
160.900	0.060	160.842	345.748	0.024
161.000	0.068	160.945	314.895	0.230
161.100	-0.042	161.042	327.066	0.727
161.200	-0.007	161.140	304.066	1.123
161.300	-0.044	161.244	338.598	1.574
161.400	0.094	161.350	310.690	1.998
161.500	-0.012	161.443	323.497	2.402
161.600	-0.037	161.541	289.487	2.893
161.700	0.011	161.652	286.988	3.240
161.800	-0.078	161.741	286.498	3.587
161.900	0.042	161.836	286.476	4.048
162.000	0.069	161.949	280.112	4.585
162.100	0.023	162.044	233.776	4.924
162.200	0.025	162.143	253.037	5.226
162.300	0.016	162.246	256.902	5.708
162.400	-0.035	162.343	270.145	6.167
162.500	0.015	162.445	216.974	0.493
162.600	-0.013	162.541	160.204	0.765
162.700	0.037	162.642	170.477	1.011
162.800	0.022	162.746	148.312	1.486
162.900	-0.006	162.846	114.835	1.672
163.000	-0.031	162.940	126.216	1.961
163.100	0.002	163.042	112.822	2.222
163.200	-0.008	163.141	119.199	2.284
163.300	0.012	163.244	133.533	2.678
163.400	-0.020	163.348	142.148	2.965
163.500	-0.034	163.444	157.968	3.270
163.600	-0.005	163.543	185.069	3.650
163.700	-0.042	163.641	193.707	4.197
163.800	-0.032	163.743	174.015	4.562
163.900	-0.024	163.842	190.425	4.943
164.000	-0.030	163.949	168.626	5.319
164.100	0.066	164.044	195.720	5.608
164.200	0.010	164.138	185.654	6.033
164.300	-0.017	164.241	184.622	0.088
164.400	0.067	164.341	183.768	0.468
164.500	-0.016	164.442	169.152	0.599
164.600	-0.035	164.541	230.876	0.972
164.700	-0.001	164.641	226.384	1.395
164.800	-0.022	164.739	319.054	1.708
164.900	0.062	164.847	303.387	2.400
165.000	0.022	164.945	301.307	2.648
165.100	-0.003	165.038	355.240	3.166
165.200	0.102	165.147	341.540	3.529
165.300	-0.067	165.244	436.545	4.062
165.400	-0.037	165.341	367.100	4.716
165.500	-0.081	165.446	395.582	5.030
165.600	0.049	165.546	358.071	5.623
165.700	0.086	165.642	366.992	5.865
165.800	-0.087	165.746	395.882	0.295
165.900	-0.020	165.844	332.342	0.679
166.000	0.050	165.940	336.605	1.245
166.100	-0.056	166.043	267.416	1.644
166.200	-0.001	166.138	288.196	1.987
166.300	0.066	166.236	242.989	2.554
166.400	-0.026	166.342	225.085	2.856
166.500	-0.003	166.440	200.368	3.389
166.600	-0.030	166.542	168.343	3.716
166.700	0.002	166.646	159.233	4.050
166.800	0.009	166.742	147.532	4.459
166.900	0.036	166.839	136.007	4.815
167.000	-0.013	166.945	135.175	5.275
167.100	0.004	167.043	104.160	5.609
167.200	-0.016	167.135	109.418	5.948
167.300	0.019	167.239	86.046	0.216
167.400	-0.011	167.341	71.211	0.422
167.500	-0.005	167.447	49.683	0.781
167.600	-0.003	167.543	44.969	0.956
167.700	0.004	167.645	35.421	1.423
167.800	0.034	167.742	6.884	0.174
167.900	0.001	167.837	41.019	0.422
168.000	-0.041	167.947	60.116	0.629
168.100	-0.025	168.043	85.296	1.129
168.200	0.002	168.138	101.046	1.613
168.300	-0.017	168.239	107.237	1.948
168.400	-0.046	168.343	134.972	2.280
168.500	-0.011	168.440	147.402	2.752
168.600	-0.026	168.538	181.841	3.034
168.700	-0.061	168.645	240.363	3.542
168.800	-0.026	168.740	264.312	4.151
168.900	0.030	168.844	274.188	4.700
169.000	-0.019	168.941	246.414	5.286
169.100	-0.054	169.041	241.057	5.451
169.200	-0.048	169.143	338.252	6.012
169.300	-0.100	169.242	301.487	0.384
169.400	-0.054	169.347	277.115	0.971
169.500	-0.044	169.442	208.741	1.322
169.600	0.027	169.545	216.893	1.503
169.700	-0.035	169.643	258.907	1.957
169.800	-0.021	169.744	255.425	2.481
169.900	0.022	169.844	250.568	2.884
170.000	-0.002	169.942	247.897	3.359
170.100	0.029	170.045	234.702	3.826
170.200	-0.039	170.145	207.282	4.318
170.300	0.011	170.242	182.023	4.610
170.400	0.019	170.347	200.812	4.846
170.500	-0.025	170.445	259.466	5.465
170.600	0.007	170.544	197.998	6.111
170.700	0.023	170.646	158.929	0.092
170.800	0.016	170.742	163.831	0.348
170.900	-0.004	170.844	191.153	0.818
171.000	-0.007	170.946	181.373	1.469
171.100	0.009	171.046	126.405	2.077
171.200	0.020	171.147	98.439	2.127
171.300	0.007	171.240	102.289	2.472
171.400	0.006	171.344	86.524	2.817
171.500	0.009	171.442	85.760	3.086
171.600	0.028	171.548	70.762	3.365
171.700	-0.012	171.642	79.390	3.548
171.800	-0.005	171.744	90.353	4.027
171.900	-0.013	171.843	63.650	4.401
172.000	-0.026	171.946	69.058	4.378
172.100	0.022	172.042	93.268	4.629
172.200	0.030	172.141	110.236	5.159
172.300	-0.063	172.240	110.530	5.612
172.400	-0.021	172.344	100.133	6.090
172.500	0.027	172.445	97.669	6.231
172.600	0.026	172.540	126.516	0.312
172.700	0.024	172.648	145.280	1.022
172.800	-0.023	172.741	108.070	1.574
172.900	0.025	172.844	86.990	1.631
173.000	-0.015	172.944	112.598	1.965
173.100	-0.015	173.044	111.001	2.416
173.200	0.013	173.144	115.785	2.620
173.300	0.055	173.246	130.474	3.144
173.400	-0.059	173.344	139.397	3.506
173.500	0.027	173.443	141.195	4.025
173.600	-0.029	173.543	149.281	4.397
173.700	-0.003	173.647	172.576	4.876
173.800	0.024	173.744	197.682	5.492
173.900	-0.064	173.846	152.166	0.066
174.000	-0.007	173.941	86.992	0.218
174.100	-0.006	174.041	107.939	0.295
174.200	0.025	174.143	129.700	0.707
174.300	-0.021	174.244	159.425	1.518
174.400	0.002	174.348	93.033	2.270
174.500	0.005	174.449	63.543	2.247
174.600	-0.015	174.545	69.163	2.392
174.700	0.007	174.640	108.807	2.735
174.800	-0.027	174.742	97.811	3.760
174.900	0.020	174.848	62.260	4.192
175.000	-0.035	174.946	47.133	4.508
175.100	-0.030	175.040	38.437	4.593
175.200	0.015	175.147	41.113	5.036
175.300	0.024	175.245	34.473	5.452
175.400	-0.017	175.347	26.284	5.626
175.500	0.001	175.441	25.131	5.877
175.600	0.000	175.539	23.472	6.234
175.700	-0.016	175.643	15.863	0.004
175.800	-0.024	175.747	18.363	6.207
175.900	-0.006	175.840	24.520	0.147
176.000	0.002	175.941	28.820	0.840
176.100	-0.004	176.046	15.540	1.170
176.200	0.010	176.144	15.372	0.984
176.300	0.025	176.243	30.450	0.715
176.400	-0.012	176.339	41.301	1.214
176.500	0.028	176.447	56.993	1.739
176.600	-0.018	176.545	64.128	2.323
176.700	-0.008	176.643	78.375	2.743
176.800	0.007	176.748	70.145	3.492
176.900	0.015	176.846	61.940	3.770
177.000	0.035	176.945	64.427	3.944
177.100	0.018	177.045	98.798	4.440
177.200	-0.022	177.149	112.454	5.173
177.300	0.024	177.241	72.907	6.084
177.400	-0.003	177.349	49.958	6.002
177.500	0.014	177.445	59.376	5.900
177.600	0.046	177.545	107.012	0.046
177.700	-0.001	177.645	132.741	1.035
177.800	-0.016	177.748	79.107	1.860
177.900	0.025	177.844	51.612	1.859
178.000	0.009	177.940	74.025	1.983
178.100	-0.039	178.046	78.564	2.613
178.200	-0.019	178.142	78.111	3.011
178.300	-0.023	178.245	69.142	3.625
178.400	0.027	178.338	62.104	3.725
178.500	-0.020	178.445	85.511	4.412
178.600	-0.004	178.552	50.932	5.026
178.700	-0.012	178.641	45.658	4.923
178.800	-0.012	178.743	66.462	5.211
178.900	-0.038	178.845	78.559	5.941
179.000	-0.022	178.943	59.025	0.320
179.100	0.010	179.043	44.315	0.669
179.200	-0.014	179.144	43.947	0.840
179.300	-0.010	179.246	56.261	1.132
179.400	-0.003	179.343	58.914	1.947
179.500	0.021	179.448	38.501	2.516
179.600	-0.019	179.546	28.714	2.559
179.700	0.010	179.642	35.778	2.976
179.800	-0.040	179.743	24.969	3.590
179.900	-0.002	179.844	18.249	3.856
180.000	0.023	179.950	14.632	3.914
