Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
156.800	-0.070	156.741	411.892	3.620
156.900	0.044	156.843	509.033	4.027
157.000	0.023	156.939	479.060	4.613
157.100	0.003	157.045	523.239	4.930
157.200	-0.097	157.145	523.811	5.587
157.300	-0.075	157.247	514.327	5.942
157.400	0.015	157.346	541.877	0.278
157.500	-0.040	157.451	466.738	0.639
157.600	-0.071	157.543	461.168	1.207
157.700	0.001	157.641	383.402	1.646
157.800	0.009	157.748	367.633	2.089
157.900	0.033	157.842	282.647	2.514
158.000	0.038	157.944	238.586	2.760
158.100	-0.050	158.045	230.648	3.001
158.200	-0.006	158.141	230.647	3.217
158.300	0.013	158.243	299.497	3.614
158.400	-0.001	158.342	248.554	4.225
158.500	-0.013	158.448	253.423	4.523
158.600	-0.023	158.541	217.790	5.141
158.700	-0.043	158.637	186.558	5.387
158.800	-0.024	158.745	164.905	5.933
158.900	-0.057	158.844	119.702	6.130
159.000	0.024	158.951	112.709	0.200
159.100	0.017	159.046	69.776	0.371
159.200	-0.003	159.140	71.460	0.263
159.300	0.004	159.245	85.217	0.402
159.400	-0.018	159.348	93.463	0.661
159.500	-0.004	159.443	103.136	0.841
159.600	-0.005	159.547	111.535	1.265
159.700	-0.008	159.640	125.863	1.432
159.800	-0.023	159.744	137.215	2.146
159.900	0.010	159.842	81.958	2.193
160.000	0.000	159.940	122.839	2.024
160.100	0.018	160.044	133.353	2.159
160.200	-0.007	160.145	272.265	2.492
160.300	-0.024	160.238	378.639	3.218
160.400	-0.062	160.346	326.704	3.804
160.500	-0.035	160.446	401.772	4.139
160.600	0.003	160.542	419.388	4.861
160.700	-0.035	160.641	375.328	5.159
160.800	-0.019	160.744	470.365	5.717
160.900	-0.028	160.847	357.905	6.235
161.000	0.069	160.943	397.800	0.275
161.100	0.053	161.051	358.956	0.811
161.200	-0.064	161.147	341.635	1.042
161.300	-0.015	161.249	350.760	1.592
161.400	-0.008	161.344	351.091	1.914
161.500	0.017	161.441	358.720	2.343
161.600	0.063	161.541	319.700	2.737
161.700	-0.047	161.640	336.729	3.136
161.800	0.098	161.745	314.891	3.569
161.900	-0.020	161.839	306.114	3.894
162.000	-0.026	161.941	297.835	4.378
162.100	0.046	162.040	278.203	4.655
162.200	-0.051	162.142	305.932	5.114
162.300	-0.064	162.239	273.933	5.578
162.400	0.064	162.344	261.224	6.000
162.500	0.068	162.443	221.285	0.170
162.600	0.073	162.551	185.432	0.436
162.700	-0.001	162.639	190.996	0.814
162.800	-0.027	162.742	141.098	1.187
162.900	0.028	162.846	132.922	1.153
163.000	-0.006	162.948	141.871	1.572
163.100	0.001	163.043	125.105	1.799
163.200	-0.004	163.143	142.361	1.865
163.300	-0.027	163.242	149.405	2.217
163.400	-0.034	163.339	181.656	2.471
163.500	0.041	163.447	203.507	2.925
163.600	0.046	163.544	211.094	3.301
163.700	0.016	163.646	209.786	3.764
163.800	0.014	163.740	205.026	3.998
163.900	0.014	163.840	233.556	4.515
164.000	0.042	163.943	196.500	4.821
164.100	0.036	164.040	227.944	5.087
164.200	0.009	164.143	206.955	5.532
164.300	0.042	164.241	209.020	5.741
164.400	-0.035	164.345	222.859	6.110
164.500	-0.077	164.445	219.339	6.278
164.600	0.018	164.543	281.666	0.330
164.700	0.008	164.641	312.072	0.860
164.800	0.073	164.745	358.300	1.078
164.900	0.045	164.842	377.465	1.758
165.000	-0.035	164.948	359.545	2.003
165.100	0.000	165.053	491.289	2.518
165.200	-0.036	165.142	395.628	2.982
165.300	0.019	165.243	508.309	3.364
165.400	-0.045	165.346	445.272	4.071
165.500	0.030	165.446	450.257	4.200
165.600	0.030	165.547	459.086	4.953
165.700	0.004	165.646	410.642	5.175
165.800	-0.066	165.742	484.170	5.786
165.900	-0.013	165.849	357.087	6.221
166.000	0.005	165.952	422.035	0.375
166.100	-0.024	166.040	324.572	0.891
166.200	0.048	166.138	313.673	1.080
166.300	0.014	166.244	299.578	1.772
166.400	0.043	166.343	232.042	1.966
166.500	-0.070	166.444	256.642	2.374
166.600	0.006	166.546	196.131	2.816
166.700	0.028	166.643	183.510	3.027
166.800	0.017	166.751	194.204	3.527
166.900	-0.016	166.843	143.514	3.856
167.000	-0.014	166.944	157.614	4.076
167.100	0.008	167.040	123.695	4.661
167.200	-0.015	167.141	129.026	4.830
167.300	-0.011	167.242	108.420	5.407
167.400	-0.016	167.345	66.308	5.579
167.500	-0.008	167.444	66.363	5.825
167.600	-0.024	167.551	52.156	6.164
167.700	-0.031	167.644	19.579	6.071
167.800	-0.000	167.751	41.162	5.382
167.900	-0.014	167.843	56.056	5.333
168.000	-0.005	167.939	100.368	5.822
168.100	0.031	168.044	118.163	6.168
168.200	0.025	168.146	138.368	0.284
168.300	-0.058	168.240	164.450	0.663
168.400	0.054	168.342	194.189	0.931
168.500	0.037	168.440	271.799	1.378
168.600	-0.044	168.542	269.055	1.936
168.700	-0.048	168.643	307.067	2.251
168.800	0.057	168.744	379.067	2.868
168.900	0.038	168.843	344.199	3.286
169.000	0.026	168.941	453.368	3.693
169.100	0.012	169.045	387.172	4.456
169.200	0.052	169.143	385.138	4.605
169.300	-0.021	169.246	399.420	5.312
169.400	0.011	169.349	317.231	5.571
169.500	0.053	169.448	395.317	5.985
169.600	0.054	169.541	332.293	0.190
169.700	-0.072	169.650	336.865	0.424
169.800	0.036	169.743	368.681	0.919
169.900	-0.098	169.843	359.535	1.332
170.000	0.026	169.946	346.031	1.755
170.100	0.062	170.048	347.644	2.181
170.200	-0.045	170.138	310.355	2.581
170.300	-0.055	170.237	307.154	2.883
170.400	-0.058	170.342	322.967	3.387
170.500	0.049	170.445	297.048	3.732
170.600	0.045	170.541	321.056	4.115
170.700	-0.042	170.646	283.228	4.564
170.800	-0.025	170.746	304.126	4.980
170.900	-0.060	170.844	288.190	5.506
171.000	0.028	170.948	230.292	5.944
171.100	-0.079	171.043	194.529	6.260
171.200	-0.004	171.145	165.662	0.413
171.300	0.018	171.246	156.338	0.466
171.400	0.018	171.345	158.218	0.850
171.500	-0.003	171.446	138.010	1.150
171.600	-0.026	171.550	140.919	1.328
171.700	-0.022	171.650	136.013	1.654
171.800	-0.013	171.748	137.458	1.822
171.900	0.013	171.840	158.415	2.162
172.000	-0.001	171.941	141.497	2.443
172.100	-0.046	172.040	179.321	2.716
172.200	0.002	172.148	178.605	3.145
172.300	0.064	172.241	201.358	3.438
172.400	0.058	172.339	221.672	3.886
172.500	-0.027	172.444	217.691	4.185
172.600	-0.046	172.539	268.364	4.629
172.700	0.006	172.640	217.825	5.139
172.800	0.008	172.744	242.387	5.420
172.900	-0.028	172.840	192.187	5.931
173.000	0.003	172.944	202.181	5.928
173.100	-0.040	173.045	250.486	0.154
173.200	-0.019	173.140	271.098	0.432
173.300	0.010	173.246	302.240	0.843
173.400	-0.012	173.345	284.905	1.334
173.500	0.052	173.448	363.397	1.595
173.600	-0.031	173.547	363.975	2.342
173.700	-0.064	173.645	351.822	2.596
173.800	-0.068	173.742	369.211	3.319
173.900	0.009	173.843	292.569	3.618
174.000	-0.015	173.937	344.546	4.079
174.100	-0.021	174.041	250.912	4.499
174.200	0.033	174.144	273.467	4.739
174.300	-0.047	174.240	264.733	5.350
174.400	0.027	174.342	225.313	5.551
174.500	0.059	174.442	271.655	6.096
174.600	0.007	174.545	189.014	0.274
174.700	0.049	174.647	231.594	0.550
174.800	-0.004	174.748	188.687	1.168
174.900	0.002	174.843	149.123	1.379
175.000	0.034	174.947	152.358	1.858
175.100	-0.019	175.046	113.142	2.202
175.200	0.025	175.151	110.927	2.441
175.300	-0.032	175.243	81.381	2.900
175.400	-0.028	175.339	66.827	2.915
175.500	-0.004	175.446	69.056	3.124
175.600	-0.056	175.540	64.405	3.177
175.700	0.011	175.642	79.580	3.517
175.800	-0.013	175.744	67.533	3.977
175.900	0.035	175.844	60.098	3.993
176.000	0.032	175.940	60.819	4.292
176.100	-0.012	176.036	68.807	4.085
176.200	0.000	176.145	82.582	4.335
176.300	-0.005	176.242	110.379	4.581
176.400	0.032	176.342	144.376	4.832
176.500	-0.036	176.444	196.498	5.316
176.600	-0.028	176.547	211.340	5.788
176.700	-0.014	176.647	286.142	6.258
176.800	-0.099	176.745	265.493	0.587
176.900	-0.004	176.843	301.412	0.958
177.000	-0.008	176.945	278.424	1.513
177.100	0.007	177.043	270.223	1.771
177.200	0.050	177.147	309.875	2.215
177.300	-0.095	177.246	303.461	2.655
177.400	0.010	177.348	304.548	3.102
177.500	-0.001	177.452	328.180	3.440
177.600	0.054	177.545	352.532	3.892
177.700	-0.010	177.646	366.527	4.327
177.800	-0.036	177.741	337.749	4.803
177.900	-0.006	177.843	345.517	5.159
178.000	0.065	177.947	342.038	5.669
178.100	0.042	178.037	318.526	6.032
178.200	-0.040	178.144	318.181	0.084
178.300	-0.056	178.240	315.858	0.523
178.400	0.075	178.340	322.807	0.926
178.500	0.006	178.453	320.664	1.320
178.600	0.015	178.541	314.299	1.731
178.700	0.035	178.647	281.453	2.123
178.800	-0.006	178.740	325.929	2.475
178.900	0.027	178.844	284.751	3.016
179.000	-0.004	178.946	292.484	3.311
179.100	0.029	179.044	284.016	3.847
179.200	-0.028	179.146	263.082	4.154
179.300	-0.005	179.240	290.880	4.621
179.400	0.012	179.342	242.134	5.171
179.500	0.010	179.442	195.301	5.594
179.600	-0.010	179.541	184.016	5.912
179.700	0.049	179.645	138.484	0.068
179.800	0.024	179.747	137.878	0.162
179.900	0.037	179.845	124.545	0.625
180.000	-0.032	179.942	98.277	0.869
