Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
105.300	-0.030	105.241	294.671	5.337
105.400	0.010	105.342	267.085	5.600
105.500	0.046	105.447	292.054	5.863
105.600	0.083	105.546	307.780	0.010
105.700	0.019	105.643	311.268	0.178
105.800	0.007	105.741	361.362	0.516
105.900	-0.068	105.841	435.340	0.892
106.000	0.002	105.945	446.391	1.425
106.100	0.018	106.046	360.485	1.814
106.200	-0.010	106.149	441.594	2.075
106.300	0.094	106.241	396.969	2.570
106.400	-0.074	106.339	390.458	2.657
106.500	0.043	106.444	527.659	3.042
106.600	-0.142	106.545	522.218	3.469
106.700	0.015	106.643	749.343	3.692
106.800	-0.076	106.739	938.596	4.543
106.900	-0.049	106.842	711.371	5.004
107.000	0.096	106.942	898.185	5.643
107.100	-0.014	107.043	612.837	6.231
107.200	-0.085	107.144	578.788	0.227
107.300	0.093	107.242	448.950	0.866
107.400	0.029	107.345	323.617	0.920
107.500	0.032	107.442	399.388	1.055
107.600	0.011	107.548	407.622	1.373
107.700	0.003	107.642	454.624	1.667
107.800	-0.039	107.742	536.937	2.250
107.900	0.033	107.837	470.084	2.725
108.000	0.049	107.946	482.261	3.149
108.100	0.069	108.046	459.567	3.739
108.200	0.043	108.135	420.976	4.142
108.300	-0.019	108.244	316.630	4.818
108.400	0.012	108.341	136.482	5.309
108.500	0.012	108.439	125.252	4.659
108.600	-0.007	108.549	140.065	4.699
108.700	0.013	108.649	214.992	4.681
108.800	-0.018	108.742	283.981	5.332
108.900	0.052	108.843	275.610	5.632
109.000	0.023	108.944	320.457	6.043
109.100	0.006	109.044	300.143	0.322
109.200	-0.077	109.148	263.569	0.534
109.300	-0.023	109.241	293.083	0.785
109.400	0.016	109.347	279.373	1.163
109.500	-0.040	109.440	292.882	1.295
109.600	0.043	109.544	365.957	1.657
109.700	-0.017	109.645	388.766	2.045
109.800	-0.011	109.743	407.980	2.309
109.900	0.068	109.848	470.844	2.681
110.000	0.010	109.941	539.400	3.059
110.100	-0.032	110.046	689.274	3.452
110.200	0.086	110.142	798.671	3.856
110.300	-0.015	110.245	975.154	4.486
110.400	-0.049	110.346	1013.235	5.177
110.500	0.033	110.446	947.585	5.664
110.600	0.151	110.541	873.030	0.062
110.700	-0.131	110.644	730.283	0.480
110.800	0.040	110.745	626.120	0.960
110.900	0.021	110.847	514.656	1.247
111.000	-0.038	110.944	512.349	1.626
111.100	-0.078	111.051	457.272	1.950
111.200	-0.005	111.142	477.027	2.268
111.300	-0.043	111.245	470.797	2.775
111.400	0.001	111.345	453.902	3.063
111.500	-0.046	111.441	430.523	3.654
111.600	-0.060	111.540	402.173	4.011
111.700	0.017	111.642	278.542	4.769
111.800	0.016	111.741	168.156	4.369
111.900	-0.030	111.844	230.429	4.473
112.000	0.076	111.944	331.108	4.703
112.100	0.025	112.044	352.449	5.248
112.200	0.056	112.142	431.994	5.659
112.300	0.058	112.242	427.303	0.247
112.400	-0.035	112.345	255.897	0.236
112.500	0.031	112.452	348.794	0.800
112.600	-0.017	112.551	278.249	1.234
112.700	0.052	112.640	270.552	1.475
112.800	0.036	112.745	211.904	2.053
112.900	-0.029	112.840	187.833	2.067
113.000	0.016	112.947	221.149	2.481
113.100	0.032	113.042	154.346	2.799
113.200	0.060	113.144	196.175	2.997
113.300	-0.014	113.242	131.918	3.475
113.400	-0.008	113.349	112.034	3.154
113.500	0.022	113.441	206.682	3.511
113.600	-0.018	113.540	159.627	3.691
113.700	-0.057	113.643	263.302	3.974
113.800	0.011	113.745	256.365	4.456
113.900	-0.037	113.843	327.688	4.603
114.000	0.005	113.946	436.296	5.247
114.100	0.033	114.045	340.599	5.818
114.200	0.051	114.147	401.170	6.038
114.300	-0.006	114.244	397.963	0.307
114.400	-0.034	114.343	377.135	0.610
114.500	-0.008	114.442	435.428	0.911
114.600	0.067	114.541	393.915	1.417
114.700	0.022	114.641	451.784	1.660
114.800	0.027	114.742	462.288	2.212
114.900	0.031	114.846	471.681	2.475
115.000	-0.045	114.942	556.748	3.024
115.100	-0.104	115.046	525.099	3.447
115.200	-0.010	115.141	532.020	3.827
115.300	0.055	115.248	506.201	4.387
115.400	-0.036	115.353	502.405	4.629
115.500	-0.035	115.450	484.171	5.220
115.600	0.084	115.551	452.377	5.468
115.700	0.152	115.643	569.797	5.916
115.800	0.033	115.737	531.106	0.121
115.900	0.057	115.840	464.879	0.619
116.000	0.060	115.944	473.328	1.018
116.100	-0.031	116.044	414.184	1.448
116.200	0.002	116.141	368.521	1.832
116.300	-0.070	116.248	412.018	2.267
116.400	-0.004	116.342	323.495	2.939
116.500	-0.002	116.444	200.126	3.075
116.600	0.069	116.544	222.192	3.399
116.700	-0.050	116.646	170.082	3.556
116.800	0.019	116.738	191.805	3.735
116.900	0.022	116.847	170.922	4.149
117.000	0.001	116.950	191.122	4.403
117.100	-0.005	117.047	193.573	4.891
117.200	0.005	117.146	137.949	5.382
117.300	-0.045	117.246	97.665	5.337
117.400	0.013	117.344	94.120	5.758
117.500	0.029	117.445	47.454	5.123
117.600	-0.006	117.546	131.119	4.700
117.700	-0.026	117.645	258.322	5.163
117.800	0.001	117.745	402.624	5.917
117.900	0.061	117.841	491.602	0.172
118.000	-0.092	117.942	517.491	0.893
118.100	-0.010	118.039	458.568	1.428
118.200	-0.002	118.140	464.386	1.803
118.300	0.004	118.240	434.575	2.222
118.400	-0.045	118.341	476.252	2.686
118.500	0.109	118.439	506.104	3.159
118.600	-0.019	118.545	409.740	3.617
118.700	0.056	118.645	394.667	3.903
118.800	0.028	118.742	411.831	4.319
118.900	-0.026	118.842	360.293	4.580
119.000	-0.051	118.938	447.134	4.909
119.100	0.012	119.049	409.258	5.411
119.200	0.037	119.143	455.264	5.622
119.300	-0.043	119.246	492.086	6.242
119.400	0.082	119.342	465.349	0.227
119.500	-0.099	119.441	650.325	0.784
119.600	0.021	119.553	448.770	1.342
119.700	-0.019	119.646	522.788	1.617
119.800	-0.051	119.746	493.557	2.334
119.900	0.053	119.846	433.368	2.686
120.000	-0.078	119.943	450.467	3.281
120.100	-0.002	120.046	316.396	3.756
120.200	0.034	120.142	250.590	4.130
120.300	0.033	120.243	185.897	4.603
120.400	0.032	120.351	107.731	4.447
120.500	0.052	120.442	168.030	4.314
120.600	0.055	120.544	160.873	4.888
120.700	0.016	120.642	179.279	4.988
120.800	0.056	120.748	213.674	5.573
120.900	-0.032	120.845	214.461	5.774
121.000	-0.039	120.945	210.462	0.382
121.100	0.003	121.046	105.328	0.627
121.200	0.021	121.141	123.762	0.412
121.300	-0.001	121.238	117.465	0.971
121.400	0.021	121.345	101.560	0.775
121.500	0.001	121.442	117.723	1.301
121.600	-0.037	121.548	128.782	1.130
121.700	-0.044	121.644	175.604	1.636
121.800	0.000	121.743	158.356	1.958
121.900	0.041	121.840	194.513	2.137
122.000	0.010	121.946	228.385	2.482
122.100	-0.003	122.045	271.245	2.838
122.200	0.045	122.141	343.863	3.365
122.300	-0.058	122.245	321.297	3.894
122.400	0.040	122.340	304.730	4.303
122.500	-0.033	122.443	294.062	4.604
122.600	0.004	122.549	319.570	4.929
122.700	0.023	122.639	343.493	5.178
122.800	-0.033	122.747	375.452	5.800
122.900	0.035	122.842	363.489	6.104
123.000	0.034	122.946	413.692	0.266
123.100	0.068	123.041	356.560	0.613
123.200	0.037	123.143	447.214	0.955
123.300	0.006	123.245	420.001	1.370
123.400	-0.033	123.346	473.022	1.710
123.500	-0.014	123.448	497.766	2.259
123.600	-0.094	123.544	538.033	2.523
123.700	-0.047	123.638	607.685	3.082
123.800	0.046	123.741	597.686	3.607
123.900	-0.028	123.840	628.106	4.083
124.000	0.009	123.938	554.591	4.657
124.100	-0.039	124.039	504.391	5.194
124.200	0.056	124.149	499.903	5.610
124.300	0.046	124.248	433.653	6.065
124.400	0.032	124.347	378.243	0.220
124.500	0.052	124.445	335.616	0.968
124.600	0.053	124.543	237.021	1.121
124.700	0.011	124.641	223.905	1.611
124.800	0.007	124.740	117.639	1.894
124.900	0.036	124.843	109.684	1.951
125.000	0.010	124.944	112.487	2.189
125.100	0.026	125.047	69.478	2.477
125.200	0.043	125.141	64.477	2.105
125.300	-0.000	125.244	100.986	2.000
125.400	-0.009	125.339	157.113	2.428
125.500	0.031	125.442	216.755	2.979
125.600	-0.010	125.543	188.154	3.727
125.700	0.063	125.645	131.031	3.927
125.800	0.017	125.751	132.783	4.047
125.900	0.020	125.857	117.983	4.328
126.000	-0.008	125.943	152.834	4.147
126.100	0.067	126.043	224.490	4.574
126.200	0.002	126.143	298.620	4.940
126.300	-0.017	126.245	373.788	5.583
126.400	-0.079	126.346	364.750	6.050
126.500	0.001	126.439	390.951	0.283
126.600	-0.098	126.548	352.856	0.748
126.700	-0.009	126.645	369.632	1.075
126.800	-0.035	126.741	352.845	1.525
126.900	-0.026	126.844	353.685	1.836
127.000	0.016	126.940	413.530	2.249
127.100	-0.012	127.043	383.463	2.579
127.200	0.046	127.145	458.124	3.011
127.300	-0.047	127.244	424.186	3.611
127.400	-0.057	127.337	394.448	3.827
127.500	-0.080	127.443	443.690	4.298
127.600	-0.001	127.548	374.117	4.692
127.700	-0.020	127.649	445.854	4.998
127.800	-0.036	127.743	415.067	5.472
127.900	0.037	127.844	463.408	5.635
128.000	-0.042	127.946	606.068	0.044
128.100	-0.026	128.043	534.371	0.437
128.200	0.066	128.148	676.990	1.126
128.300	-0.011	128.246	464.428	1.735
128.400	0.014	128.341	473.463	2.208
128.500	-0.050	128.440	335.391	2.889
128.600	0.017	128.543	211.684	3.138
128.700	-0.064	128.644	159.608	3.242
128.800	-0.006	128.746	135.361	3.429
128.900	-0.025	128.846	151.039	3.309
129.000	-0.035	128.943	207.241	3.704
129.100	-0.049	129.045	178.356	4.075
129.200	-0.010	129.141	192.458	4.518
129.300	-0.017	129.247	157.981	4.774
129.400	-0.012	129.346	173.720	4.707
129.500	0.031	129.444	277.375	5.357
129.600	0.092	129.546	268.717	5.968
129.700	-0.053	129.640	203.475	0.545
129.800	-0.047	129.737	107.849	0.216
129.900	0.025	129.846	140.863	0.701
130.000	-0.021	129.947	97.029	0.729
130.100	-0.024	130.038	132.080	0.738
130.200	0.044	130.144	143.257	1.067
130.300	0.030	130.247	177.933	1.348
130.400	-0.012	130.344	202.584	1.794
130.500	0.017	130.444	207.006	2.207
130.600	0.005	130.545	216.141	2.481
130.700	-0.001	130.646	228.231	2.888
130.800	0.048	130.744	223.146	3.245
130.900	-0.036	130.842	255.766	3.475
131.000	0.014	130.943	260.120	3.909
131.100	0.040	131.045	297.125	4.139
131.200	-0.011	131.145	370.985	4.713
131.300	-0.009	131.247	321.685	5.088
131.400	-0.003	131.340	391.498	5.550
131.500	0.027	131.440	324.412	6.150
131.600	-0.011	131.549	260.053	6.266
131.700	-0.112	131.647	304.503	0.144
131.800	-0.062	131.744	396.764	0.420
131.900	0.033	131.841	465.964	0.881
132.000	-0.031	131.946	499.975	1.345
132.100	-0.006	132.049	559.896	1.787
132.200	-0.124	132.147	632.534	2.255
132.300	0.085	132.248	724.221	2.809
132.400	-0.135	132.338	703.738	3.355
132.500	0.166	132.446	776.959	3.851
132.600	-0.022	132.543	692.606	4.465
132.700	-0.041	132.645	687.532	5.129
132.800	-0.073	132.742	526.229	5.696
132.900	-0.078	132.850	419.321	6.246
133.000	0.029	132.942	286.955	0.211
133.100	-0.020	133.041	286.523	0.558
133.200	-0.026	133.146	194.416	1.178
133.300	0.028	133.243	158.075	1.427
133.400	-0.001	133.341	75.023	1.606
133.500	-0.036	133.439	71.894	0.786
133.600	0.000	133.540	94.765	0.970
133.700	-0.002	133.646	145.647	1.169
133.800	0.043	133.744	205.787	1.608
133.900	-0.008	133.844	196.667	1.967
134.000	0.045	133.953	275.869	2.463
134.100	0.044	134.044	230.195	2.976
134.200	-0.066	134.143	283.697	3.225
134.300	0.017	134.244	257.921	3.914
134.400	-0.045	134.343	217.853	4.208
134.500	-0.035	134.443	181.207	4.421
134.600	0.071	134.547	171.931	4.606
134.700	-0.010	134.645	245.747	4.817
134.800	0.043	134.743	240.689	5.327
134.900	0.037	134.838	260.065	5.383
135.000	0.029	134.943	325.793	5.983
135.100	-0.015	135.043	286.471	0.044
135.200	-0.023	135.147	360.033	0.302
135.300	-0.048	135.245	358.260	0.878
135.400	0.025	135.345	360.960	1.185
135.500	-0.004	135.443	382.597	1.658
135.600	-0.062	135.547	409.790	1.976
135.700	0.040	135.645	483.382	2.401
